,Fuel Consumption (ml/s),,Speed (m/s),
time,Gainesville,Cologne6to8,Gainesville,Cologne6to8
122,1.395638418,1.062332705,12.98019209,10.73588124
123,1.541255605,1.130881119,13.01803812,10.75378089
124,1.40403118,1.116739231,13.00542316,10.77423807
125,1.449281768,1.083411494,12.93640884,10.74075402
126,1.491829135,1.077820923,12.86065717,10.72176336
127,1.399369565,1.05541459,12.7845,10.67968283
128,1.341067961,1.071692238,12.78562028,10.76732401
129,1.38335477,1.078926655,12.78949625,10.76148032
130,1.414195953,1.097163782,12.76591054,10.77780737
131,1.41189018,1.118369421,12.74578669,10.85672559
132,1.48933893,1.160443177,12.79653725,10.93313295
133,1.470884495,1.11210825,12.77790843,10.96163247
134,1.459163223,1.13527115,12.79072314,11.00576139
135,1.365005128,1.079111207,12.70130256,10.9080979
136,1.456585117,1.098301323,12.68355759,10.9183312
137,1.459008097,1.081034775,12.64325911,10.91554283
138,1.403326633,1.044806885,12.57350754,10.82277918
139,1.424955135,1.026276551,12.484666,10.71314452
140,1.474350842,1.077818333,12.51897919,10.70350062
141,1.453848425,1.042138443,12.57376969,10.65115781
142,1.434477028,1.069231712,12.6498827,10.57454025
143,1.391755577,1.070309194,12.62671193,10.52343369
144,1.419315333,1.076134895,12.6433269,10.54953958
145,1.403406699,1.089066132,12.62158852,10.58011222
146,1.398079848,1.134208848,12.54831749,10.69049422
147,1.360462701,1.137278481,12.49220019,10.78098497
148,1.432483599,1.207527473,12.48230553,10.89566327
149,1.46221808,1.178945724,12.49426841,10.98362358
